index,name,photons,coefficient,psf_size,wf_length,requested_rms,phase_rms_error,wf_l2_error,volume_relative_l2,lf_relative_l2,noisy_lf_relative_l2,sensor_fit_relative_l2,standardized_residual_rms,relative_quasi_deviance,forward_relative_l2,forward_validation_s,solve_s,optics_setup_s,projection_setup_s,standalone_setup_and_solve_s,steps,peak_allocated_bytes,evaluation_s,save_s,case_wall_s
8,rms1_len21_08,100,0.6684276945863945,225,21,1.0,0.004714208655059338,0.004712097346782684,0.6734081506729126,0.06316512823104858,0.7427187561988831,0.0300898514688015,0.9867196703279203,0.4164321651979497,5.718966349377297e-06,0.7724262066185474,194.49694837257266,6.026804614812136,0.02684294618666172,200.55059593357146,2300,5955400192,0.7777817025780678,2.480463994666934,198.68537691421807
9,rms1_len21_09,100,0.5013927235625814,225,21,1.0,0.00669464934617281,0.006692033261060715,0.7207629680633545,0.08505196869373322,0.9302274584770203,0.02969231642782688,0.9859152850363727,0.5362304474394095,5.45445482202922e-06,0.7790316920727491,195.10475172288716,6.0195521507412195,0.028266917914152145,201.15257079154253,2300,5955400192,0.7791718989610672,1.6643869373947382,198.38048330135643
0,rms1_len21_shared,300,1.6617523285138842,225,21,1.0,0.001993535552173853,0.001992963720113039,0.6139334440231323,0.0290755033493042,0.32123929262161255,0.032170262187719345,0.9876586924545394,0.1893822241618611,5.626581696560606e-06,0.7784682437777519,194.758052457124,5.737593125551939,0.02683274634182453,200.52247832901776,2300,5955400192,0.77852663397789,2.3236463125795126,198.70862368494272
1,rms1_len21_01,300,1.7489600738269524,225,21,1.0,0.0023180153220891953,0.002317145699635148,0.6112651824951172,0.027812035754323006,0.30751997232437134,0.03233056887984276,0.9875480329187868,0.18093801008836383,5.649945705954451e-06,0.7749973628669977,194.62715414352715,5.987499626353383,0.027314815670251846,200.64196858555079,2300,5955400192,0.7783690765500069,2.4273399747908115,198.80671451054513
2,rms1_len21_02,300,1.375082957981035,225,21,1.0,0.0022083516232669353,0.00220779562368989,0.6587008833885193,0.03455139696598053,0.3740949034690857,0.03158290684223175,0.9866593931711818,0.22237552062593263,5.568339474848472e-06,0.7772230766713619,194.8260064572096,5.996712405234575,0.026977211236953735,200.84969607368112,2300,5955400192,0.7794054690748453,1.8409870024770498,198.40095884911716
3,rms1_len21_03,300,1.5700281523500992,225,21,1.0,0.0017668193904682994,0.001766013796441257,0.6290545463562012,0.02982208877801895,0.3396514654159546,0.032061684876680374,0.9886318226213898,0.19901475079152764,5.639027676807018e-06,0.7790645137429237,194.64662788808346,5.978677215054631,0.026681460440158844,200.65198656357825,2300,5955400192,0.7780507672578096,2.160454351454973,198.42291260696948
4,rms1_len21_04,300,1.702733824513658,225,21,1.0,0.0015944099286571145,0.001593926572240889,0.6378811597824097,0.028601104393601418,0.3107646107673645,0.03227101266384125,0.9879277669151746,0.18515905741232142,5.565919309447054e-06,0.7732806522399187,195.18798400834203,5.705814689397812,0.026713930070400238,200.92051262781024,2300,5955400192,0.7794312741607428,1.785123324021697,198.6598830074072
5,rms1_len21_05,300,1.682534708140458,225,21,1.0,0.0023802402429282665,0.002379531040787697,0.65105801820755,0.02888638898730278,0.31903746724128723,0.032213978469371796,0.9880105665949053,0.18718830779575898,5.6598014452902135e-06,0.7765610255300999,194.4022997058928,6.046737261116505,0.02682047337293625,200.47585744038224,2300,5955400192,0.7778793480247259,1.6645017974078655,197.7964849099517
6,rms1_len21_06,300,1.5985323370908968,225,21,1.0,0.002377665601670742,0.0023765063378959894,0.6419554948806763,0.02931796945631504,0.3262639045715332,0.032020192593336105,0.9871990740678583,0.1956459126873412,5.556459200306563e-06,0.7757312040776014,194.50925068370998,6.026804614812136,0.02684294618666172,200.56289824470878,2300,5955400192,0.7784289196133614,2.215087477117777,198.4028870239854
7,rms1_len21_07,300,1.4634786857394495,225,21,1.0,0.002868551993742585,0.002866824623197317,0.6446650624275208,0.03224349766969681,0.36018064618110657,0.03179371356964111,0.9868764719798737,0.2106821534849725,5.625062385661295e-06,0.7795646376907825,195.10656495206058,6.0195521507412195,0.028266917914152145,201.15438402071595,2300,5955400192,0.7799791898578405,1.7321289535611868,198.57189320027828
